,6615,6703,6688,6613
6785,251.21284,115.025303,138.473148,236.225299
6388,9.776087,144.58419,191.764545,24.177478
6619,130.013166,272.842335,319.510326,152.483279
6488,85.412473,215.075519,248.862049,96.905066
6454,13.327807,147.17642,186.998571,23.046529
6652,114.278529,208.470466,246.945607,125.345453
6884,39.346428,141.206715,190.528754,32.347695
6583,112.115973,254.237677,301.733229,134.773431
6509,98.306789,240.101771,287.504892,119.273549
6825,119.672491,259.684064,307.077587,139.217802
6866,82.104415,219.862844,268.112045,100.099305
6676,223.132789,72.153129,93.854394,223.075231
6327,109.415441,248.564844,296.531646,128.588621
6912,191.203012,144.207565,1.099076,173.441052
6800,103.432909,257.532547,305.70278,124.226046
6428,3.448244,146.824614,194.800033,26.96088
6517,1.424385,145.471875,193.047097,24.956089
6406,83.861379,170.902231,207.495497,68.333641
6402,109.43066,249.23775,296.792442,129.38618
6751,95.200904,233.440326,280.623708,112.814615
6329,90.272082,246.904303,289.149069,112.491363
6297,124.441899,264.951979,313.072289,144.859029
6971,75.783241,213.401255,261.897705,92.780763
7031,84.568501,225.747218,272.587449,104.728048
6519,82.265767,220.333582,267.429219,99.955434
6806,96.582155,236.38849,284.694519,116.575198
6523,97.221162,240.345899,283.883516,116.920217
6771,191.978855,248.927675,281.199341,209.752382
6513,76.375178,219.053837,269.082502,99.480362
6802,89.013867,228.837204,277.054369,108.756383
6965,84.35198,221.988141,270.453941,101.853391
6879,86.153864,216.953608,266.592625,96.902587
6686,95.721017,234.860395,283.5649,114.292641
6534,88.764549,229.14653,276.07622,108.74334
6761,91.128206,230.79568,278.596607,110.716465
6613,23.283034,126.274011,174.341803,0.274632
6321,98.319222,241.400936,284.632657,116.918514
6544,91.442531,231.850164,278.73659,111.242332
6886,96.852728,236.94197,284.358075,116.166578
6042,98.713921,238.62694,286.737495,118.572823
6719,14.996939,153.895418,202.157122,28.979757
6826,89.695928,227.258701,274.968842,107.565323
6518,89.027497,228.329284,276.438069,108.500943
6973,62.757287,105.242291,145.604944,40.367507
6999,89.963926,228.385323,276.031561,110.79717
6572,13.820263,142.865775,185.644992,21.967231
6764,191.621006,120.973179,2.172801,174.175689
6996,207.611194,68.784964,93.115283,189.378281
6475,104.576762,245.092466,293.109081,125.03777
6533,85.061333,228.333166,275.843096,108.122879
6926,90.733438,237.446513,282.251366,114.80241
6972,6.798251,146.906473,194.517404,26.743634
6994,190.379863,154.963343,177.742231,214.675323
7021,79.598121,219.384294,266.040005,98.034865
6833,65.662416,99.112729,137.180721,46.602588
6274,60.717468,93.780773,142.223497,44.240845
6441,98.94579,239.084544,286.961949,119.070137
6769,1.4103,157.5831,214.013223,28.14324
6405,77.128897,214.157447,261.980184,94.311365
6357,90.478121,232.810477,277.889017,109.775794
6675,91.536462,235.117066,283.650226,114.158416
6316,95.161688,234.441676,283.601059,114.602565
6658,112.930395,256.639164,301.341856,132.876804
6947,59.989381,93.640317,141.166062,43.061417
6043,95.299258,235.482134,283.909824,115.301979
6072,5.488368,153.212747,202.220254,38.655765
6756,152.2042,233.379136,318.555851,176.282936
6434,61.174367,93.953416,141.904428,40.906647
6179,231.510201,368.576857,416.690171,248.725795
7041,91.025611,231.296428,279.418847,111.038913
6478,121.792178,260.95802,310.600081,140.761152
6276,119.84619,271.021634,329.424559,142.873318
7047,190.495245,161.384575,177.326577,211.136317
6867,76.433981,221.350016,269.090088,99.094972
6651,98.882326,243.768263,292.413841,120.822147
6840,94.298588,229.658768,284.273704,110.713607
6836,61.593599,107.266072,150.752095,50.158691
6748,156.451444,295.51842,341.467228,175.60627
6984,80.697379,218.26945,265.949935,98.276044
6993,230.205224,367.341251,414.943493,247.496744
6900,91.503685,236.920519,282.804563,124.470455
6224,210.547046,345.99975,395.015819,225.836436
6400,81.481486,219.099482,266.406569,98.952165
6298,113.198776,250.770746,288.615601,137.895923
6598,56.188547,91.734588,126.281744,41.031593
6211,112.790322,252.443053,300.082274,132.539046
6152,90.914645,231.399351,272.760744,110.134397
6510,120.458448,258.704079,307.601047,138.561052
7054,94.058855,233.79403,281.362051,113.529922
6872,104.719511,246.872506,295.337716,127.113852
6350,99.44531,239.492797,286.967362,119.89779
6707,102.422928,244.714035,292.539262,125.246802
6082,138.483389,224.514928,267.198303,138.369892
6384,86.063234,233.244443,276.001432,122.22278
6983,158.398875,1.938701,140.170503,140.34887
6557,14.959611,149.845144,197.363905,28.658251
6668,102.573852,248.324575,288.211365,119.018325
6705,205.42133,128.034087,151.938093,249.995576
6526,129.334078,272.2263,319.67514,151.119016
6928,1.281199,144.732972,192.865576,24.897336
6955,81.142248,218.519758,266.212092,98.87055
6607,206.816984,68.784803,91.424129,189.203158
6974,144.06563,1.721608,120.933364,125.995576
6880,84.431919,227.268981,274.875537,106.869783
6700,172.115804,33.383439,131.999143,154.160317
6882,218.989381,362.061095,409.799505,241.829213
6432,86.83225,226.618711,274.418781,107.396483
7007,238.623273,75.225282,98.82723,215.285401
6693,87.952907,227.971563,275.08244,107.705903
6706,183.83277,45.661785,127.980386,166.809363
6798,190.492403,154.481491,175.573808,214.329689
6887,212.701396,65.74355,144.39389,196.545302
6952,99.077289,238.99098,286.928349,118.980419
7020,146.854685,297.21916,340.620955,170.634166
6844,114.495738,254.553064,302.132038,134.03554
6626,81.497002,218.75534,266.240914,98.871815
6341,2.998593,151.369891,198.073593,30.311456
6576,91.538436,231.571694,279.106252,111.610834
6494,82.717492,224.996816,274.2834,105.033821
7009,154.36052,305.76346,345.835248,192.624617
6674,90.997763,229.47688,276.471746,108.937716
6817,76.515505,221.205571,269.596627,99.065409
6957,2.080895,146.4708,193.015251,25.751178
6588,3.549262,146.833742,194.287334,26.585787
6485,124.598844,244.541389,293.434114,129.525613
6382,80.433102,217.495044,265.726326,96.919632
6941,104.925889,245.499065,292.320815,124.852721
6697,65.180599,99.729343,137.657047,46.99125
6431,151.869894,180.337577,190.988735,172.639681
6498,14.386647,155.426884,202.568977,27.489967
6746,141.393816,222.723286,306.791021,163.428641
6858,90.043498,229.406242,281.478006,113.2769
6491,111.591346,255.259236,302.370987,134.207829
6330,103.431391,246.561877,293.51744,126.134496
6891,119.493922,259.442557,298.414245,143.013598
6623,104.953915,247.644138,295.304815,127.412526
6222,12.350386,155.70058,199.844955,31.819065
6612,173.469854,320.137433,365.47333,198.526459
6549,6.321794,146.705779,193.166509,25.633607
6986,94.698513,238.041193,285.128825,117.293346
6470,206.741039,69.376696,92.379255,189.976849
6569,236.3527,377.204956,423.994236,256.24449
7055,84.044779,221.312398,269.567435,101.188012
6278,76.615784,220.680379,268.543479,99.375936
6920,98.594529,238.857839,286.700644,119.320304
6351,101.563473,247.406833,293.821753,123.010497
6963,91.542187,231.236674,279.435666,111.314498
6272,91.898271,233.899574,279.850289,112.067381
6098,76.185967,213.508001,260.952595,93.577083
6743,108.112524,251.042805,298.24309,130.554655
6649,65.671503,99.881602,137.734016,47.110684
6780,92.871247,232.876821,279.749423,112.478887
6782,30.921028,129.909119,168.735307,23.58763
6788,97.11086,236.426398,284.387048,116.455829
6772,95.428006,236.550717,284.737519,116.833973
6745,152.508857,241.133934,324.688487,177.861752
6545,95.888982,235.424247,283.576698,115.115305
6799,88.220027,227.332091,275.525208,107.252021
